ticker,company_name,sources,investor_count,aggregate_activity,fundamentals_pe_ratio,fundamentals_forward_pe,fundamentals_pb_ratio,fundamentals_peg_ratio,fundamentals_week_52_high,fundamentals_week_52_low,fundamentals_pct_above_52w_low,fundamentals_pct_below_52w_high,fundamentals_current_price,fundamentals_previous_close,fundamentals_total_cash,fundamentals_total_debt,fundamentals_long_term_debt,fundamentals_net_debt,fundamentals_market_cap,fundamentals_insider_pct,fundamentals_institutional_pct,fundamentals_sector,fundamentals_industry,fundamentals_country,fundamentals_currency,fundamentals_exchange,fundamentals_is_international,investors
000858-SZ,000858-SZ,Dataroma,1,Hold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,Tweedy Browne Co.
0019.HK,Swire Pacific Limited,Dataroma,1,Hold,69.23913,7.6372304,0.33719584,N/A,73.6,60.2,5.81,13.45,63.7,62.7,26838999040,107111997440,N/A,80272998400,231098531840,56.86,17.5,Industrials,Conglomerates,Hong Kong,HKD,HKG,True,Steven Romick
003550.KS,LG Corp.,Dataroma,2,Hold,N/A,8.07608,N/A,N/A,91700.0,58300.0,38.94,11.67,81000.0,80700.0,2637309935616,666612006912,N/A,-1970697928704,12490459054080,42.54,34.44,Technology,Consumer Electronics,South Korea,KRW,KSC,True,"Tweedy Browne Co., Steven Romick"
005830.KS,"DB Insurance Co., Ltd.",Dataroma,1,Hold,N/A,4.6247773,N/A,N/A,148300.0,77500.0,64.9,13.82,127800.0,131100.0,41488092233728,3693738983424,N/A,-37794353250304,7673555189760,24.6,33.96,Financial Services,Insurance - Property & Casualty,South Korea,KRW,KSC,True,Tweedy Browne Co.
028260.KS,Samsung C&T Corporation,Dataroma,1,Hold,N/A,16.346743,N/A,N/A,258500.0,108100.0,126.64,5.22,245000.0,239500.0,5891594125312,3989627207680,N/A,-1901966917632,40090961182720,46.54,26.17,Industrials,Engineering & Construction,South Korea,KRW,KSC,True,Steven Romick
086790.KS,Hana Financial Group Inc.,Dataroma,1,Hold,N/A,6.101292,N/A,N/A,101100.0,51500.0,81.36,7.62,93400.0,94100.0,191149046235136,151439724773376,N/A,-39709321461760,25590274981888,1.54,57.64,Financial Services,Banks - Regional,South Korea,KRW,KSC,True,Tweedy Browne Co.
145720.KS,"Dentium CO., LTD",Dataroma,1,Add,N/A,8.113042,N/A,N/A,85500.0,43100.0,11.37,43.86,48000.0,46200.0,81553547264,268878135296,N/A,187324588032,413946773504,18.95,27.0,Healthcare,Medical Instruments & Supplies,South Korea,KRW,KSC,True,Tweedy Browne Co.
1979.T,Taikisha Ltd.,Dataroma,1,Hold,16.556124,8.633112,1.3974987,N/A,3400.0,1999.0,64.83,3.09,3295.0,3310.0,53937999872,18488999936,N/A,-35448999936,207568846848,25.65,32.57,Industrials,Building Products & Equipment,Japan,JPY,JPX,True,Tweedy Browne Co.
2531.T,Takara Holdings Inc.,Dataroma,1,Hold,24.389133,17.168804,1.3065636,N/A,1858.0,1097.5,46.42,13.51,1607.0,1610.0,60558000128,61871001600,N/A,1313001472,309948219392,8.08,51.3,Consumer Defensive,Beverages - Brewers,Japan,JPY,JPX,True,Tweedy Browne Co.
271560.KS,ORION Corp.,Dataroma,1,Add,N/A,8.7766905,N/A,N/A,127300.0,97000.0,6.29,19.01,103100.0,105700.0,1162565910528,34722459648,N/A,-1127843450880,4075418025984,43.82,28.66,Consumer Defensive,Confectioners,South Korea,KRW,KSC,True,Steven Romick
4182.T,"Mitsubishi Gas Chemical Company, Inc.",Dataroma,1,Hold,N/A,10.274642,0.87317187,N/A,2992.0,1918.0,48.04,5.1,2839.5,2858.0,60778000384,213639004160,N/A,152861003776,552972845056,4.91,53.85,Basic Materials,Specialty Chemicals,Japan,JPY,JPX,True,Tweedy Browne Co.
4368.T,"Fuso Chemical Co.,Ltd.",Dataroma,1,Hold,17.421507,22.153439,2.0461557,N/A,6760.0,2922.0,118.0,5.77,6370.0,6370.0,33464000512,18900000768,N/A,-14563999744,224641253376,37.11,36.34,Basic Materials,Chemicals,Japan,JPY,JPX,True,Tweedy Browne Co.
4401.T,Adeka Corporation,Dataroma,1,Hold,15.174412,14.136699,1.2749316,N/A,3949.0,2125.5,82.36,1.85,3876.0,3914.0,122429997056,55159001088,N/A,-67270995968,385111293952,14.41,42.71,Basic Materials,Specialty Chemicals,Japan,JPY,JPX,True,Tweedy Browne Co.
5122.T,"Okamoto Industries, Inc.",Dataroma,1,Hold,16.806465,15.5300665,0.9473225,N/A,5740.0,4450.0,22.92,4.7,5470.0,5500.0,37088002048,3326000128,N/A,-33762001920,93494640640,27.61,27.56,Basic Materials,Specialty Chemicals,Japan,JPY,JPX,True,Tweedy Browne Co.
6250.T,Yamabiko Corporation,Dataroma,1,Hold,9.124121,9.044431,1.0845263,N/A,3015.0,1785.0,66.5,1.43,2972.0,2978.0,15822999552,14273999872,N/A,-1548999680,121583665152,9.52,42.94,Industrials,Tools & Accessories,Japan,JPY,JPX,True,Tweedy Browne Co.
6277.T,Hosokawa Micron Corporation,Dataroma,1,Hold,18.450064,12.191958,1.2280304,N/A,5910.0,3235.0,74.34,4.57,5640.0,5740.0,31942000640,1471000064,N/A,-30471000576,82546974720,6.72,43.33,Industrials,Specialty Industrial Machinery,Japan,JPY,JPX,True,Tweedy Browne Co.
6465.T,Hoshizaki Corporation,Dataroma,1,Buy,18.691288,19.800213,1.9972607,N/A,6589.0,4834.0,7.84,20.88,5213.0,5219.0,167537000448,5352000000,N/A,-162185000448,738143305728,24.14,32.09,Industrials,Specialty Industrial Machinery,Japan,JPY,JPX,True,Steven Romick
7716.T,Nakanishi Inc.,Dataroma,1,Hold,32.896046,14.840062,1.378226,N/A,2619.0,1756.0,12.81,24.36,1981.0,1980.0,54819995648,26507470848,N/A,-28312524800,164511711232,23.38,34.9,Healthcare,Medical Instruments & Supplies,Japan,JPY,JPX,True,Tweedy Browne Co.
